['./solve_sudoku.py', 'all_cells.cnf']
Iterations: 0, satisfied = 2309, out of 2997 
Iterations: 1, satisfied = 2312, out of 2997 
Iterations: 2, satisfied = 2314, out of 2997 
Iterations: 3, satisfied = 2316, out of 2997 
Iterations: 4, satisfied = 2320, out of 2997 
Iterations: 5, satisfied = 2322, out of 2997 
Iterations: 6, satisfied = 2326, out of 2997 
Iterations: 7, satisfied = 2330, out of 2997 
Iterations: 8, satisfied = 2333, out of 2997 
Iterations: 9, satisfied = 2338, out of 2997 
Iterations: 10, satisfied = 2344, out of 2997 
Iterations: 11, satisfied = 2348, out of 2997 
Iterations: 12, satisfied = 2354, out of 2997 
Iterations: 13, satisfied = 2356, out of 2997 
Iterations: 14, satisfied = 2361, out of 2997 
Iterations: 15, satisfied = 2365, out of 2997 
Iterations: 16, satisfied = 2369, out of 2997 
Iterations: 17, satisfied = 2374, out of 2997 
Iterations: 18, satisfied = 2378, out of 2997 
Iterations: 19, satisfied = 2381, out of 2997 
Iterations: 20, satisfied = 2385, out of 2997 
Iterations: 21, satisfied = 2388, out of 2997 
Iterations: 22, satisfied = 2392, out of 2997 
Iterations: 23, satisfied = 2396, out of 2997 
Iterations: 24, satisfied = 2399, out of 2997 
Iterations: 25, satisfied = 2404, out of 2997 
Iterations: 26, satisfied = 2406, out of 2997 
Iterations: 27, satisfied = 2410, out of 2997 
Iterations: 28, satisfied = 2414, out of 2997 
Iterations: 29, satisfied = 2418, out of 2997 
Iterations: 30, satisfied = 2423, out of 2997 
Iterations: 31, satisfied = 2427, out of 2997 
Iterations: 32, satisfied = 2430, out of 2997 
Iterations: 33, satisfied = 2434, out of 2997 
Iterations: 34, satisfied = 2439, out of 2997 
Iterations: 35, satisfied = 2443, out of 2997 
Iterations: 36, satisfied = 2448, out of 2997 
Iterations: 37, satisfied = 2451, out of 2997 
Iterations: 38, satisfied = 2455, out of 2997 
Iterations: 39, satisfied = 2459, out of 2997 
Iterations: 40, satisfied = 2462, out of 2997 
Iterations: 41, satisfied = 2465, out of 2997 
Iterations: 42, satisfied = 2470, out of 2997 
Iterations: 43, satisfied = 2474, out of 2997 
Iterations: 44, satisfied = 2475, out of 2997 
Iterations: 45, satisfied = 2478, out of 2997 
Iterations: 46, satisfied = 2482, out of 2997 
Iterations: 47, satisfied = 2486, out of 2997 
Iterations: 48, satisfied = 2490, out of 2997 
Iterations: 49, satisfied = 2493, out of 2997 
Iterations: 50, satisfied = 2497, out of 2997 
Iterations: 51, satisfied = 2500, out of 2997 
Iterations: 52, satisfied = 2503, out of 2997 
Iterations: 53, satisfied = 2506, out of 2997 
Iterations: 54, satisfied = 2509, out of 2997 
Iterations: 55, satisfied = 2512, out of 2997 
Iterations: 56, satisfied = 2516, out of 2997 
Iterations: 57, satisfied = 2520, out of 2997 
Iterations: 58, satisfied = 2525, out of 2997 
Iterations: 59, satisfied = 2528, out of 2997 
Iterations: 60, satisfied = 2530, out of 2997 
Iterations: 61, satisfied = 2534, out of 2997 
