['./solve_sudoku.py', 'rows_and_cols.cnf']
Iterations: 0, satisfied = 2470, out of 3159 
Iterations: 1, satisfied = 2474, out of 3159 
Iterations: 2, satisfied = 2479, out of 3159 
Iterations: 3, satisfied = 2484, out of 3159 
Iterations: 4, satisfied = 2486, out of 3159 
Iterations: 5, satisfied = 2490, out of 3159 
Iterations: 6, satisfied = 2494, out of 3159 
Iterations: 7, satisfied = 2497, out of 3159 
Iterations: 8, satisfied = 2500, out of 3159 
Iterations: 9, satisfied = 2504, out of 3159 
Iterations: 10, satisfied = 2508, out of 3159 
Iterations: 11, satisfied = 2512, out of 3159 
Iterations: 12, satisfied = 2516, out of 3159 
Iterations: 13, satisfied = 2521, out of 3159 
Iterations: 14, satisfied = 2524, out of 3159 
Iterations: 15, satisfied = 2526, out of 3159 
Iterations: 16, satisfied = 2530, out of 3159 
Iterations: 17, satisfied = 2535, out of 3159 
Iterations: 18, satisfied = 2539, out of 3159 
Iterations: 19, satisfied = 2543, out of 3159 
Iterations: 20, satisfied = 2548, out of 3159 
Iterations: 21, satisfied = 2554, out of 3159 
Iterations: 22, satisfied = 2558, out of 3159 
Iterations: 23, satisfied = 2561, out of 3159 
Iterations: 24, satisfied = 2565, out of 3159 
Iterations: 25, satisfied = 2570, out of 3159 
Iterations: 26, satisfied = 2572, out of 3159 
Iterations: 27, satisfied = 2576, out of 3159 
Iterations: 28, satisfied = 2579, out of 3159 
Iterations: 29, satisfied = 2583, out of 3159 
Iterations: 30, satisfied = 2587, out of 3159 
Iterations: 31, satisfied = 2590, out of 3159 
Iterations: 32, satisfied = 2592, out of 3159 
Iterations: 33, satisfied = 2596, out of 3159 
Iterations: 34, satisfied = 2600, out of 3159 
Iterations: 35, satisfied = 2605, out of 3159 
Iterations: 36, satisfied = 2608, out of 3159 
Iterations: 37, satisfied = 2612, out of 3159 
Iterations: 38, satisfied = 2617, out of 3159 
Iterations: 39, satisfied = 2620, out of 3159 
Iterations: 40, satisfied = 2624, out of 3159 
Iterations: 41, satisfied = 2628, out of 3159 
Iterations: 42, satisfied = 2632, out of 3159 
Iterations: 43, satisfied = 2636, out of 3159 
Iterations: 44, satisfied = 2640, out of 3159 
Iterations: 45, satisfied = 2643, out of 3159 
Iterations: 46, satisfied = 2647, out of 3159 
Iterations: 47, satisfied = 2650, out of 3159 
Iterations: 48, satisfied = 2653, out of 3159 
Iterations: 49, satisfied = 2655, out of 3159 
Iterations: 50, satisfied = 2657, out of 3159 
Iterations: 51, satisfied = 2661, out of 3159 
Iterations: 52, satisfied = 2665, out of 3159 
Iterations: 53, satisfied = 2669, out of 3159 
Iterations: 54, satisfied = 2673, out of 3159 
Iterations: 55, satisfied = 2676, out of 3159 
Iterations: 56, satisfied = 2680, out of 3159 
Iterations: 57, satisfied = 2684, out of 3159 
Iterations: 58, satisfied = 2686, out of 3159 
Iterations: 59, satisfied = 2690, out of 3159 
Iterations: 60, satisfied = 2693, out of 3159 
Iterations: 61, satisfied = 2696, out of 3159 
Iterations: 62, satisfied = 2699, out of 3159 
Iterations: 63, satisfied = 2702, out of 3159 
Iterations: 64, satisfied = 2705, out of 3159 
Iterations: 65, satisfied = 2708, out of 3159 
Iterations: 66, satisfied = 2710, out of 3159 
Iterations: 67, satisfied = 2712, out of 3159 
Iterations: 68, satisfied = 2713, out of 3159 
Iterations: 69, satisfied = 2718, out of 3159 
Iterations: 70, satisfied = 2722, out of 3159 
Iterations: 71, satisfied = 2724, out of 3159 
Iterations: 72, satisfied = 2727, out of 3159 
Iterations: 73, satisfied = 2730, out of 3159 
Iterations: 74, satisfied = 2734, out of 3159 
Iterations: 75, satisfied = 2737, out of 3159 
Iterations: 76, satisfied = 2740, out of 3159 
Iterations: 77, satisfied = 2743, out of 3159 
Iterations: 78, satisfied = 2746, out of 3159 
Iterations: 79, satisfied = 2750, out of 3159 
Iterations: 80, satisfied = 2753, out of 3159 
Iterations: 81, satisfied = 2755, out of 3159 
Iterations: 82, satisfied = 2759, out of 3159 
Iterations: 83, satisfied = 2762, out of 3159 
Iterations: 84, satisfied = 2767, out of 3159 
Iterations: 85, satisfied = 2769, out of 3159 
Iterations: 86, satisfied = 2773, out of 3159 
Iterations: 87, satisfied = 2777, out of 3159 
Iterations: 88, satisfied = 2780, out of 3159 
Iterations: 89, satisfied = 2784, out of 3159 
Iterations: 90, satisfied = 2786, out of 3159 
Iterations: 91, satisfied = 2789, out of 3159 
Iterations: 92, satisfied = 2792, out of 3159 
Iterations: 93, satisfied = 2797, out of 3159 
Iterations: 94, satisfied = 2798, out of 3159 
Iterations: 95, satisfied = 2801, out of 3159 
Iterations: 96, satisfied = 2803, out of 3159 
Iterations: 97, satisfied = 2806, out of 3159 
Iterations: 98, satisfied = 2809, out of 3159 
Iterations: 99, satisfied = 2812, out of 3159 
Iterations: 100, satisfied = 2814, out of 3159 
Iterations: 101, satisfied = 2816, out of 3159 
Iterations: 102, satisfied = 2818, out of 3159 
Iterations: 103, satisfied = 2820, out of 3159 
Iterations: 104, satisfied = 2822, out of 3159 
