['./solve_sudoku.py', 'rules.cnf']
Iterations: 0, satisfied = 2551, out of 3240 
Iterations: 1, satisfied = 2555, out of 3240 
Iterations: 2, satisfied = 2561, out of 3240 
Iterations: 3, satisfied = 2565, out of 3240 
Iterations: 4, satisfied = 2568, out of 3240 
Iterations: 5, satisfied = 2573, out of 3240 
Iterations: 6, satisfied = 2577, out of 3240 
Iterations: 7, satisfied = 2582, out of 3240 
Iterations: 8, satisfied = 2586, out of 3240 
Iterations: 9, satisfied = 2591, out of 3240 
Iterations: 10, satisfied = 2595, out of 3240 
Iterations: 11, satisfied = 2598, out of 3240 
Iterations: 12, satisfied = 2602, out of 3240 
Iterations: 13, satisfied = 2607, out of 3240 
Iterations: 14, satisfied = 2611, out of 3240 
Iterations: 15, satisfied = 2616, out of 3240 
Iterations: 16, satisfied = 2621, out of 3240 
Iterations: 17, satisfied = 2624, out of 3240 
Iterations: 18, satisfied = 2629, out of 3240 
Iterations: 19, satisfied = 2633, out of 3240 
Iterations: 20, satisfied = 2636, out of 3240 
Iterations: 21, satisfied = 2640, out of 3240 
Iterations: 22, satisfied = 2642, out of 3240 
Iterations: 23, satisfied = 2646, out of 3240 
Iterations: 24, satisfied = 2650, out of 3240 
Iterations: 25, satisfied = 2656, out of 3240 
Iterations: 26, satisfied = 2660, out of 3240 
Iterations: 27, satisfied = 2663, out of 3240 
Iterations: 28, satisfied = 2667, out of 3240 
Iterations: 29, satisfied = 2670, out of 3240 
Iterations: 30, satisfied = 2673, out of 3240 
Iterations: 31, satisfied = 2677, out of 3240 
Iterations: 32, satisfied = 2679, out of 3240 
Iterations: 33, satisfied = 2683, out of 3240 
Iterations: 34, satisfied = 2687, out of 3240 
Iterations: 35, satisfied = 2690, out of 3240 
Iterations: 36, satisfied = 2692, out of 3240 
Iterations: 37, satisfied = 2695, out of 3240 
Iterations: 38, satisfied = 2700, out of 3240 
Iterations: 39, satisfied = 2704, out of 3240 
Iterations: 40, satisfied = 2708, out of 3240 
Iterations: 41, satisfied = 2713, out of 3240 
Iterations: 42, satisfied = 2716, out of 3240 
Iterations: 43, satisfied = 2720, out of 3240 
Iterations: 44, satisfied = 2722, out of 3240 
Iterations: 45, satisfied = 2726, out of 3240 
Iterations: 46, satisfied = 2730, out of 3240 
Iterations: 47, satisfied = 2733, out of 3240 
Iterations: 48, satisfied = 2737, out of 3240 
Iterations: 49, satisfied = 2741, out of 3240 
Iterations: 50, satisfied = 2744, out of 3240 
Iterations: 51, satisfied = 2748, out of 3240 
Iterations: 52, satisfied = 2750, out of 3240 
Iterations: 53, satisfied = 2755, out of 3240 
Iterations: 54, satisfied = 2757, out of 3240 
Iterations: 55, satisfied = 2760, out of 3240 
Iterations: 56, satisfied = 2764, out of 3240 
Iterations: 57, satisfied = 2768, out of 3240 
