['./solve_sudoku.py', 'puzzle2.cnf']
Iterations: 0, satisfied = 2558, out of 3251 
Iterations: 1, satisfied = 2561, out of 3251 
Iterations: 2, satisfied = 2565, out of 3251 
Iterations: 3, satisfied = 2571, out of 3251 
Iterations: 4, satisfied = 2575, out of 3251 
Iterations: 5, satisfied = 2579, out of 3251 
Iterations: 6, satisfied = 2575, out of 3251 
Iterations: 7, satisfied = 2580, out of 3251 
Iterations: 8, satisfied = 2584, out of 3251 
Iterations: 9, satisfied = 2587, out of 3251 
Iterations: 10, satisfied = 2591, out of 3251 
Iterations: 11, satisfied = 2596, out of 3251 
Iterations: 12, satisfied = 2600, out of 3251 
Iterations: 13, satisfied = 2604, out of 3251 
Iterations: 14, satisfied = 2608, out of 3251 
Iterations: 15, satisfied = 2610, out of 3251 
Iterations: 16, satisfied = 2614, out of 3251 
Iterations: 17, satisfied = 2617, out of 3251 
Iterations: 18, satisfied = 2621, out of 3251 
Iterations: 19, satisfied = 2625, out of 3251 
Iterations: 20, satisfied = 2629, out of 3251 
Iterations: 21, satisfied = 2631, out of 3251 
Iterations: 22, satisfied = 2636, out of 3251 
Iterations: 23, satisfied = 2639, out of 3251 
Iterations: 24, satisfied = 2643, out of 3251 
Iterations: 25, satisfied = 2647, out of 3251 
Iterations: 26, satisfied = 2651, out of 3251 
Iterations: 27, satisfied = 2655, out of 3251 
Iterations: 28, satisfied = 2657, out of 3251 
Iterations: 29, satisfied = 2662, out of 3251 
Iterations: 30, satisfied = 2666, out of 3251 
Iterations: 31, satisfied = 2671, out of 3251 
Iterations: 32, satisfied = 2675, out of 3251 
Iterations: 33, satisfied = 2679, out of 3251 
Iterations: 34, satisfied = 2684, out of 3251 
Iterations: 35, satisfied = 2688, out of 3251 
Iterations: 36, satisfied = 2691, out of 3251 
Iterations: 37, satisfied = 2695, out of 3251 
Iterations: 38, satisfied = 2699, out of 3251 
Iterations: 39, satisfied = 2701, out of 3251 
Iterations: 40, satisfied = 2705, out of 3251 
Iterations: 41, satisfied = 2709, out of 3251 
Iterations: 42, satisfied = 2714, out of 3251 
Iterations: 43, satisfied = 2718, out of 3251 
Iterations: 44, satisfied = 2722, out of 3251 
Iterations: 45, satisfied = 2725, out of 3251 
Iterations: 46, satisfied = 2730, out of 3251 
Iterations: 47, satisfied = 2734, out of 3251 
Iterations: 48, satisfied = 2738, out of 3251 
Iterations: 49, satisfied = 2742, out of 3251 
Iterations: 50, satisfied = 2747, out of 3251 
Iterations: 51, satisfied = 2750, out of 3251 
Iterations: 52, satisfied = 2755, out of 3251 
Iterations: 53, satisfied = 2758, out of 3251 
Iterations: 54, satisfied = 2759, out of 3251 
Iterations: 55, satisfied = 2762, out of 3251 
Iterations: 56, satisfied = 2765, out of 3251 
Iterations: 57, satisfied = 2768, out of 3251 
Iterations: 58, satisfied = 2772, out of 3251 
Iterations: 59, satisfied = 2775, out of 3251 
Iterations: 60, satisfied = 2778, out of 3251 
Iterations: 61, satisfied = 2781, out of 3251 
Iterations: 62, satisfied = 2786, out of 3251 
Iterations: 63, satisfied = 2791, out of 3251 
Iterations: 64, satisfied = 2794, out of 3251 
Iterations: 65, satisfied = 2798, out of 3251 
Iterations: 66, satisfied = 2801, out of 3251 
Iterations: 67, satisfied = 2804, out of 3251 
Iterations: 68, satisfied = 2808, out of 3251 
Iterations: 69, satisfied = 2812, out of 3251 
Iterations: 70, satisfied = 2816, out of 3251 
Iterations: 71, satisfied = 2819, out of 3251 
Iterations: 72, satisfied = 2820, out of 3251 
Iterations: 73, satisfied = 2823, out of 3251 
Iterations: 74, satisfied = 2827, out of 3251 
Iterations: 75, satisfied = 2830, out of 3251 
Iterations: 76, satisfied = 2831, out of 3251 
Iterations: 77, satisfied = 2834, out of 3251 
Iterations: 78, satisfied = 2835, out of 3251 
Iterations: 79, satisfied = 2838, out of 3251 
Iterations: 80, satisfied = 2841, out of 3251 
Iterations: 81, satisfied = 2844, out of 3251 
Iterations: 82, satisfied = 2847, out of 3251 
Iterations: 83, satisfied = 2851, out of 3251 
Iterations: 84, satisfied = 2855, out of 3251 
Iterations: 85, satisfied = 2859, out of 3251 
Iterations: 86, satisfied = 2863, out of 3251 
Iterations: 87, satisfied = 2868, out of 3251 
Iterations: 88, satisfied = 2871, out of 3251 
Iterations: 89, satisfied = 2875, out of 3251 
Iterations: 90, satisfied = 2878, out of 3251 
Iterations: 91, satisfied = 2881, out of 3251 
Iterations: 92, satisfied = 2884, out of 3251 
Iterations: 93, satisfied = 2888, out of 3251 
Iterations: 94, satisfied = 2887, out of 3251 
Iterations: 95, satisfied = 2891, out of 3251 
Iterations: 96, satisfied = 2895, out of 3251 
Iterations: 97, satisfied = 2897, out of 3251 
Iterations: 98, satisfied = 2902, out of 3251 
Iterations: 99, satisfied = 2904, out of 3251 
Iterations: 100, satisfied = 2907, out of 3251 
Iterations: 101, satisfied = 2912, out of 3251 
Iterations: 102, satisfied = 2915, out of 3251 
Iterations: 103, satisfied = 2917, out of 3251 
Iterations: 104, satisfied = 2920, out of 3251 
Iterations: 105, satisfied = 2923, out of 3251 
Iterations: 106, satisfied = 2922, out of 3251 
Iterations: 107, satisfied = 2925, out of 3251 
Iterations: 108, satisfied = 2929, out of 3251 
Iterations: 109, satisfied = 2933, out of 3251 
Iterations: 110, satisfied = 2934, out of 3251 
Iterations: 111, satisfied = 2936, out of 3251 
Iterations: 112, satisfied = 2939, out of 3251 
Iterations: 113, satisfied = 2940, out of 3251 
Iterations: 114, satisfied = 2942, out of 3251 
Iterations: 115, satisfied = 2945, out of 3251 
Iterations: 116, satisfied = 2946, out of 3251 
Iterations: 117, satisfied = 2949, out of 3251 
Iterations: 118, satisfied = 2950, out of 3251 
Iterations: 119, satisfied = 2952, out of 3251 
Iterations: 120, satisfied = 2956, out of 3251 
Iterations: 121, satisfied = 2958, out of 3251 
Iterations: 122, satisfied = 2960, out of 3251 
Iterations: 123, satisfied = 2962, out of 3251 
Iterations: 124, satisfied = 2964, out of 3251 
Iterations: 125, satisfied = 2965, out of 3251 
Iterations: 126, satisfied = 2967, out of 3251 
Iterations: 127, satisfied = 2969, out of 3251 
Iterations: 128, satisfied = 2972, out of 3251 
Iterations: 129, satisfied = 2976, out of 3251 
Iterations: 130, satisfied = 2978, out of 3251 
Iterations: 131, satisfied = 2982, out of 3251 
Iterations: 132, satisfied = 2985, out of 3251 
Iterations: 133, satisfied = 2988, out of 3251 
Iterations: 134, satisfied = 2991, out of 3251 
Iterations: 135, satisfied = 2993, out of 3251 
Iterations: 136, satisfied = 2996, out of 3251 
Iterations: 137, satisfied = 2999, out of 3251 
Iterations: 138, satisfied = 3001, out of 3251 
Iterations: 139, satisfied = 3003, out of 3251 
Iterations: 140, satisfied = 3006, out of 3251 
Iterations: 141, satisfied = 3007, out of 3251 
Iterations: 142, satisfied = 3010, out of 3251 
Iterations: 143, satisfied = 3012, out of 3251 
Iterations: 144, satisfied = 3015, out of 3251 
Iterations: 145, satisfied = 3017, out of 3251 
Iterations: 146, satisfied = 3020, out of 3251 
Iterations: 147, satisfied = 3019, out of 3251 
Iterations: 148, satisfied = 3021, out of 3251 
Iterations: 149, satisfied = 3023, out of 3251 
Iterations: 150, satisfied = 3025, out of 3251 
Iterations: 151, satisfied = 3027, out of 3251 
Iterations: 152, satisfied = 3029, out of 3251 
Iterations: 153, satisfied = 3031, out of 3251 
Iterations: 154, satisfied = 3033, out of 3251 
Iterations: 155, satisfied = 3036, out of 3251 
Iterations: 156, satisfied = 3035, out of 3251 
Iterations: 157, satisfied = 3037, out of 3251 
Iterations: 158, satisfied = 3038, out of 3251 
Iterations: 159, satisfied = 3040, out of 3251 
Iterations: 160, satisfied = 3041, out of 3251 
Iterations: 161, satisfied = 3043, out of 3251 
Iterations: 162, satisfied = 3046, out of 3251 
Iterations: 163, satisfied = 3048, out of 3251 
Iterations: 164, satisfied = 3050, out of 3251 
Iterations: 165, satisfied = 3052, out of 3251 
Iterations: 166, satisfied = 3055, out of 3251 
Iterations: 167, satisfied = 3057, out of 3251 
Iterations: 168, satisfied = 3058, out of 3251 
Iterations: 169, satisfied = 3060, out of 3251 
Iterations: 170, satisfied = 3061, out of 3251 
Iterations: 171, satisfied = 3063, out of 3251 
Iterations: 172, satisfied = 3065, out of 3251 
Iterations: 173, satisfied = 3067, out of 3251 
Iterations: 174, satisfied = 3065, out of 3251 
Iterations: 175, satisfied = 3068, out of 3251 
Iterations: 176, satisfied = 3069, out of 3251 
Iterations: 177, satisfied = 3070, out of 3251 
Iterations: 178, satisfied = 3072, out of 3251 
