['./solve_sudoku.py', 'rows.cnf']
Iterations: 0, satisfied = 2389, out of 3078 
Iterations: 1, satisfied = 2393, out of 3078 
Iterations: 2, satisfied = 2398, out of 3078 
Iterations: 3, satisfied = 2402, out of 3078 
Iterations: 4, satisfied = 2407, out of 3078 
Iterations: 5, satisfied = 2409, out of 3078 
Iterations: 6, satisfied = 2413, out of 3078 
Iterations: 7, satisfied = 2417, out of 3078 
Iterations: 8, satisfied = 2421, out of 3078 
Iterations: 9, satisfied = 2425, out of 3078 
Iterations: 10, satisfied = 2427, out of 3078 
Iterations: 11, satisfied = 2430, out of 3078 
Iterations: 12, satisfied = 2431, out of 3078 
Iterations: 13, satisfied = 2435, out of 3078 
Iterations: 14, satisfied = 2437, out of 3078 
Iterations: 15, satisfied = 2439, out of 3078 
Iterations: 16, satisfied = 2442, out of 3078 
Iterations: 17, satisfied = 2445, out of 3078 
Iterations: 18, satisfied = 2446, out of 3078 
Iterations: 19, satisfied = 2451, out of 3078 
Iterations: 20, satisfied = 2456, out of 3078 
Iterations: 21, satisfied = 2460, out of 3078 
Iterations: 22, satisfied = 2464, out of 3078 
Iterations: 23, satisfied = 2468, out of 3078 
Iterations: 24, satisfied = 2472, out of 3078 
Iterations: 25, satisfied = 2476, out of 3078 
Iterations: 26, satisfied = 2480, out of 3078 
Iterations: 27, satisfied = 2485, out of 3078 
Iterations: 28, satisfied = 2490, out of 3078 
Iterations: 29, satisfied = 2494, out of 3078 
Iterations: 30, satisfied = 2496, out of 3078 
Iterations: 31, satisfied = 2500, out of 3078 
Iterations: 32, satisfied = 2503, out of 3078 
Iterations: 33, satisfied = 2509, out of 3078 
Iterations: 34, satisfied = 2513, out of 3078 
Iterations: 35, satisfied = 2518, out of 3078 
Iterations: 36, satisfied = 2522, out of 3078 
Iterations: 37, satisfied = 2525, out of 3078 
Iterations: 38, satisfied = 2529, out of 3078 
Iterations: 39, satisfied = 2533, out of 3078 
Iterations: 40, satisfied = 2537, out of 3078 
Iterations: 41, satisfied = 2540, out of 3078 
Iterations: 42, satisfied = 2543, out of 3078 
Iterations: 43, satisfied = 2546, out of 3078 
Iterations: 44, satisfied = 2549, out of 3078 
Iterations: 45, satisfied = 2552, out of 3078 
Iterations: 46, satisfied = 2556, out of 3078 
Iterations: 47, satisfied = 2561, out of 3078 
Iterations: 48, satisfied = 2565, out of 3078 
